,주차장코드,주차장명,주소,검색어,url
70,1277144,영등포구청역 공영주차장(시),영등포구 당산동3가 370-3,영등포구청역 공영주차장,https://pcmap.place.naver.com/restaurant/19002119/review/visitor#
71,1277145,잠실역 공영주차장(시),송파구 신천동 27-0,잠실역 공영주차장,https://pcmap.place.naver.com/restaurant/35977159/review/visitor#
72,1277146,장안2동 공영주차장(시),동대문구 장안동 286-9,장안2동 공영주차장,https://pcmap.place.naver.com/restaurant/35977160/review/visitor#
73,1277157,해방촌노외 공영주차장(시),용산구 용산동2가 1-1497,해방촌노외 공영주차장,https://pcmap.place.naver.com/restaurant/35977141/review/visitor#
74,1277160,당산노외 공영주차장(시),영등포구 당산동3가 2-1,당산노외 공영주차장,https://pcmap.place.naver.com/restaurant/35977154/review/visitor#
75,1277163,명일동 공영주차장(시),강동구 명일동 47-9,명일동 공영주차장,https://pcmap.place.naver.com/restaurant/21186035/review/visitor#
76,1364466,도곡로21길 7 공영주차장(구),강남구 역삼동 795-25,도곡로21길 7 공영주차장,https://pcmap.place.naver.com/restaurant/18751976/review/visitor#
77,1364468,탄천제2호 공영주차장(구),강남구 일원동 4-49,탄천제2호 공영주차장,
78,1364472,영희초교 공영주차장(구),강남구 일원동 617-0,영희초교 공영주차장,https://pcmap.place.naver.com/restaurant/18848982/review/visitor#
79,1365707,배봉공영주차장(구),동대문구 휘경동 286-66,배봉공영주차장,https://pcmap.place.naver.com/restaurant/1173829264/review/visitor#
80,1366393,하늘공원주차장(구),구로구 가리봉동 1-11,하늘공원주차장,https://pcmap.place.naver.com/restaurant/671286031/review/visitor#
81,1366394,개봉1동마을공동주차장(구),구로구 개봉동 416-2,개봉1동마을공동주차장,https://pcmap.place.naver.com/restaurant/36060690/review/visitor#
82,1366395,개봉1동 노외주차장(구),구로구 개봉동 134-8,개봉1동 노외주차장,
83,1366487,양재시민의숲(매헌)역 공영주차장(구),서초구 양재동 237-2,양재시민의숲역 공영주차장,https://pcmap.place.naver.com/restaurant/18755281/review/visitor#
84,1366504,송정동(건물) 공영주차장(구),성동구 금호동1가 68-57,송정동 공영주차장,https://pcmap.place.naver.com/restaurant/44413415/review/visitor#
85,1366527,동작대교 공영주차장(시),용산구 용산동6가 69-11,동작대교 공영주차장,https://pcmap.place.naver.com/restaurant/35977140/review/visitor#
86,1366575,망원동 공영주차장(시),마포구 망원동 478-10,망원동 공영주차장,https://pcmap.place.naver.com/restaurant/18796267/review/visitor#
87,1366576,개화역 공영주차장(시),강서구 개화동 664-0,개화역 공영주차장,https://pcmap.place.naver.com/restaurant/35896060/review/visitor#
88,1366590,신대방역 공영주차장(시),관악구 신림동 498-0,신대방역 공영주차장,https://pcmap.place.naver.com/restaurant/35977155/review/visitor#
89,1366593,구로디지털단지역(상) 공영주차장(시),관악구 신림동 1677-5,구로디지털단지역 공영주차장,https://pcmap.place.naver.com/restaurant/35977161/review/visitor#
90,1366600,학여울 공영주차장(시),강남구 대치동 514-1,학여울 공영주차장,https://pcmap.place.naver.com/restaurant/35977147/review/visitor#
91,1366602,일원터널 공영주차장(시),강남구 일원동 722-1,일원터널 공영주차장,https://pcmap.place.naver.com/restaurant/21185906/review/visitor#
92,1366624,창동역(서) 공영주차장(시),도봉구 창동 330-0,창동역 공영주차장,https://pcmap.place.naver.com/restaurant/35977138/review/visitor#
93,1366789,청암공영주차장(무인)(구),강북구 미아동 791-1694,청암공영주차장,https://pcmap.place.naver.com/restaurant/21185740/review/visitor#
94,1366790,은혜공영주차장(무인)(구),강북구 미아동 791-1049,은혜공영주차장,https://pcmap.place.naver.com/restaurant/18602417/review/visitor#
95,1366791,송천동공영주차장(구),강북구 미아동 439-138,송천동공영주차장,https://pcmap.place.naver.com/restaurant/21185789/review/visitor#
96,1366792,수유일공원공영주차장(구),강북구 수유동 605-407,수유일공원공영주차장,https://pcmap.place.naver.com/restaurant/1897886469/review/visitor#
97,1366793,번2동 공영주차장(무인)(구),강북구 번동 148-140,번2동 공영주차장,https://pcmap.place.naver.com/restaurant/21185779/review/visitor#
98,1366794,미아동공영주차장(구),강북구 미아동 222-100,미아동공영주차장,https://pcmap.place.naver.com/restaurant/18604800/review/visitor#
99,1366795,수유동쌈지마당공영주차장(구),강북구 수유동 612-6,수유동쌈지마당공영주차장,
100,1366869,당곡중학교공영 (지하주차장)(구),관악구 봉천동 682-0,당곡중학교공영  주차장,
101,1366903,석계역 공영주차장(시),노원구 월계동 50-9,석계역 공영주차장,https://pcmap.place.naver.com/restaurant/35977137/review/visitor#
102,1367123,새서울주차장(시),금천구 시흥동 886-14,새서울주차장,https://pcmap.place.naver.com/restaurant/18834771/review/visitor#
103,1367218,한마음주차장(구),양천구 목동 914-5,한마음주차장,https://pcmap.place.naver.com/restaurant/1232480816/review/visitor#
104,1367264,적선동 주차장(시),종로구 적선동 140-0,적선동 주차장,https://pcmap.place.naver.com/restaurant/36003356/review/visitor#
105,1367564,해군본부앞 공영주차장(시),영등포구 신길동 812-0,해군본부앞 공영주차장,https://pcmap.place.naver.com/restaurant/35977689/review/visitor#
106,1367773,가산동 금천교 공영주차장(시),금천구 가산동 691-3,가산동 금천교 공영주차장,https://pcmap.place.naver.com/restaurant/21186061/review/visitor#
107,1367792,당산고가밑 공영주차장(시),영등포구 당산동5가 9-15,당산고가밑 공영주차장,
108,1367804,을지로 공영주차장(시),중구 을지로3가 282-8,을지로 공영주차장,https://pcmap.place.naver.com/restaurant/35940236/review/visitor#
109,1368504,연신중학교지하공동주차장(구),은평구 불광동 400-4,연신중학교지하공동주차장,
110,1368524,구청앞(구),강북구 수유동 191-1,구청앞 주차장,https://pcmap.place.naver.com/restaurant/21186135/review/visitor#
111,1368749,신길5동 공영(구),영등포구 신길동 400-1,신길5동 공영 주차장,https://pcmap.place.naver.com/restaurant/38328263/review/visitor#
112,1368955,남산공원 소월로 관광버스전용 주차장(시),중구 남대문로5가 450-0,남산공원 소월로 관광버스전용 주차장,
113,1369476,탑골공원 관광버스전용 주차장(시),종로구 종로2가 38-4,탑골공원 관광버스전용 주차장,
114,1370001,청계산근린광장(구),서초구 원지동 355-1,청계산근린광장 주차장,https://pcmap.place.naver.com/restaurant/21185732/review/visitor#
115,1370100,강일동공영주차장(구),강동구 강일동 292-2,강일동공영주차장,https://pcmap.place.naver.com/restaurant/21186193/review/visitor#
116,1370269,이경시장 공영주차장(구),동대문구 이문동 86-52,이경시장 공영주차장,https://pcmap.place.naver.com/restaurant/21185768/review/visitor#
117,1370637,번동 햇살 주차장(구),강북구 번동 148-380,번동 햇살 주차장,https://pcmap.place.naver.com/restaurant/36010738/review/visitor#
118,1370857,봉수대공영주차장(구),중랑구 신내동 12-2,봉수대공영주차장,https://pcmap.place.naver.com/restaurant/1629203258/review/visitor#
119,1371688,공단본부(구),양천구 목동 919-5,공단본부 주차장,https://pcmap.place.naver.com/restaurant/36005510/review/visitor#
120,1371689,양천사회단체봉사센터(구),양천구 목동 905-29,양천사회단체봉사센터 주차장,
121,1371690,목동타운홀(구),양천구 목동 905-21,목동타운홀 주차장,
122,1372128,마천동 3공영주차장(구),송파구 마천동 128-4,마천동 3공영주차장,https://pcmap.place.naver.com/restaurant/35977291/review/visitor#
123,1372154,문정 공영주차장(구),송파구 문정동 2-5,문정 공영주차장,https://pcmap.place.naver.com/restaurant/35977945/review/visitor#
124,1372454,대림노외 공영주차장(시),구로구 구로동 120-5,대림노외 공영주차장,
125,1372873,도봉산역 공영주차장(시),도봉구 도봉동 288-19,도봉산역 공영주차장,https://pcmap.place.naver.com/restaurant/37060268/review/visitor#
